node_id,type,name,topic,group_id,disabled,wired_inputs,wired_outputs,x,y
3ec10f2b39bea533,ui_switch,Sensore Portico,,8d8d37.4822d2c8,False,1,1,1520,3960
ecd6f9eba4b883a3,mqtt out,zara/domotics/porch_sensor,zara/domotics/porch_sensor,,False,2,0,1800,3960
4687ef00.94af98,ui_button,Apri 2nd button,,65075bb7.fa3d34,False,0,1,540,3980
7e3aa695.5a4558,link out,cancelloGarage2nd,,,False,1,0,690,3980
3dbd3b0db5f5962d,function,function 11,,,False,1,0,1350,4020
c42e2225a8053c7a,bigtimer,Big Timer,,,False,0,1,1560,4020
a8d77a891d51129e,comment,termostati,,,False,0,0,80,4040
2155a2d0524e330a,comment,living,,,False,0,0,70,4080
746669b3d131813f,ui_switch,Acceso,topic,cb9fc429ce2122c2,True,0,1,680,4100
53234a63c7edbaf9,mqtt out,cmnd/tasmota_F32F4F/THERMOSTATMODESET,cmnd/tasmota_F32F4F/THERMOSTATMODESET,,False,1,0,970,4100
a947d635cc060e6f,mqtt in,emon/emonth5/temperature_calibrated,emon/emonth5/temperature_calibrated,,False,0,1,170,4140
bbca0a2da0d0a1f5,function,function,,,False,1,1,440,4140
1c1f687e73114a51,ui_gauge,°C,,cb9fc429ce2122c2,False,1,0,670,4140
aff34d4d75143af9,bigtimer,Big Timer,,,True,0,1,1340,4140
71abe7c41c12fa36,function,function 31,,,True,2,1,1550,4140
e5245e96c84ff633,ui_switch,Sensore Portico,,8d8d37.4822d2c8,True,1,1,1760,4140
40a2297948c01af7,mqtt in,cmnd/tasmota_F32F4F/TEMPTARGETSET,cmnd/tasmota_F32F4F/TEMPTARGETSET,,False,0,1,180,4180
6377419bf79690b0,ui_slider,topic,topic,cb9fc429ce2122c2,False,1,1,670,4180
536b72c34561348b,mqtt out,cmnd/tasmota_F32F4F/TEMPTARGETSET,cmnd/tasmota_F32F4F/TEMPTARGETSET,,False,3,0,970,4180
05c65bc43d4ae28d,light-scheduler,living thermostat timer,,,True,1,1,160,4240
0d3db1e90f0911e0,change,change,,,False,1,1,460,4240
a836c202e981967b,mqtt in,emon/TermostatLiving/Switch,emon/TermostatLiving/Switch,,False,0,1,140,4300
d5fa4e8ebd2af62a,change,change,,,False,1,1,400,4300
ce4c07901d9df049,ui_switch,topic,topic,cb9fc429ce2122c2,False,1,0,630,4300
a25310cb7a5acd42,inject,inject,,,False,0,1,470,4360
e1aa6d4c58cd04d2,mqtt in,zara/domotics/livingThemostatMinValue,zara/domotics/livingThemostatMinValue,,False,0,1,170,4400
edd359e59e9359f9,ui_slider,Min temp,topic,cb9fc429ce2122c2,False,2,1,700,4400
78f46048539b022f,change,change,,,False,1,1,920,4400
8b5131fe86d70e81,mqtt out,zara/domotics/livingThemostatMinValue,zara/domotics/livingThemostatMinValue,,False,1,0,1300,4400
719a9c6bd05f9d29,mqtt in,zara/domotics/livingThemostatMaxValue,zara/domotics/livingThemostatMaxValue,,False,0,1,170,4440
eeb42973ece4688b,ui_slider,Max temp,topic,cb9fc429ce2122c2,False,2,1,700,4440
339ba97c20ed9d38,change,change,,,False,1,1,920,4440
1231be7b548cdaa8,mqtt out,zara/domotics/livingThemostatMaxValue,zara/domotics/livingThemostatMaxValue,,False,1,0,1300,4440
4cd86e00dca662e5,inject,inject,,,False,0,1,470,4480
515f1a8f257a4255,comment,bagno camera,,,False,0,0,90,4540
8d118ed51f489093,ui_switch,Acceso,topic,48196d137af1665e,True,0,1,740,4580
c784eb3294af2fd6,mqtt out,cmnd/tasmota_F294D7/THERMOSTATMODESET,cmnd/tasmota_F294D7/THERMOSTATMODESET,,False,1,0,1030,4580
61b6483e29d346e6,mqtt in,emon/shellyBagnocamera/temperature_calibrated,emon/shellyBagnocamera/temperature_calibrated,,False,0,1,220,4620
708ee83c9397abac,function,function,,,False,1,1,500,4620
1039ed727c58e23f,ui_gauge,°C,,48196d137af1665e,False,1,0,730,4620
