id,type,tab,name,disabled,topic,qos,retain,broker_name,broker_host,broker_port,outputs,wire_targets
326768da85a5d990,mqtt in,Android APP Bridge,MQTT Potenza Casa (Load W),false,TeslaPowerwall/load_instant_power,2,,emoncms mqtt,192.168.1.15,1883,,966f722b97b6dfd5
6223c2899c0ae992,mqtt in,Android APP Bridge,MQTT Potenza Produzione FV (FV W),false,TeslaPowerwall/solar_instant_power,2,,emoncms mqtt,192.168.1.15,1883,,966f722b97b6dfd5
1c21da7cdc55c2ae,mqtt in,Android APP Bridge,MQTT temperatura living,false,emon/emonth5/temperature_calibrated,2,,emoncms mqtt,192.168.1.15,1883,,84374abab73c53ba
cee938eea10f7bd4,mqtt in,Android APP Bridge,cee938eea10f7bd4,false,zigbee2mqtt/TU-cucinaEsterno,2,,domopi mqtt,192.168.1.20,1883,,
efe270ec96f87af7,mqtt in,Android APP Bridge,efe270ec96f87af7,false,emon/resolDL2/sensor2,2,,emoncms mqtt,192.168.1.15,1883,,966f722b97b6dfd5
0b370faa3935fe88,mqtt in,Android APP Bridge,0b370faa3935fe88,false,emon/resolDL2/sensor3,2,,emoncms mqtt,192.168.1.15,1883,,966f722b97b6dfd5
9ac2eb0ded5a2efd,mqtt in,Android APP Bridge,9ac2eb0ded5a2efd,false,emon/resolDL2/sensor1,2,,emoncms mqtt,192.168.1.15,1883,,966f722b97b6dfd5
8c0fe215629e8f46,mqtt in,Android APP Bridge,8c0fe215629e8f46,false,emon/shellyACS/tempACS,2,,emoncms mqtt,192.168.1.15,1883,,966f722b97b6dfd5
84374abab73c53ba,function,Android APP Bridge,Gateway Ambienti,false,,,,,,,1,e21a5bab7aaa539f
232f8e2188161e4c,mqtt in,Android APP Bridge,MQTT humidity living,false,emon/emonth5/humidity,2,,emoncms mqtt,192.168.1.15,1883,,84374abab73c53ba
11f0be7d90a47f54,mqtt in,Android APP Bridge,MQTT Sonoff AirGuard TH esterno cucina,false,zigbee2mqtt/Sonoff AirGuard TH esterno cucina,2,,domopi mqtt,192.168.1.20,1883,,84374abab73c53ba
01283d5864cde9b4,function,Android APP Bridge,Inbound Router Settaggi,false,,,,,,,1,e3e42f614574d29c
1d09b533095d68c1,mqtt out,Android APP Bridge,1d09b533095d68c1,false,zara/domotics/modalitavacanza,0,true,domopi mqtt,192.168.1.20,1883,,
e3e42f614574d29c,switch,Android APP Bridge,e3e42f614574d29c,false,,,,,,,8,"1d09b533095d68c1,b51bd73002b7f88b,3bfeb435fb6e3132,a40733727fb29c55,3db3a26c676e583c,0af2db132cc8cd0f,d073880643e29f9e,2b99835ee36a758d"
b51bd73002b7f88b,mqtt out,Android APP Bridge,b51bd73002b7f88b,false,zara/domotics/luciECO,0,true,domopi mqtt,192.168.1.20,1883,,
3bfeb435fb6e3132,mqtt out,Android APP Bridge,3bfeb435fb6e3132,false,zara/domotics/luciPiscinaAuto,0,true,domopi mqtt,192.168.1.20,1883,,
