node_id,direction,flow,node_name,topic,dynamic_topic,qos,retain,datatype,broker_name,broker_host,broker_port,disabled
865af8e6972b8bc3,PUBLISH,Dashboard Android App,,zara/domotics/luciPiscinaAuto,no,0,true,,domopi mqtt,192.168.1.20,1883,False
e5fe808aac72557a,SUBSCRIBE,Dashboard Android App,,emon/shellyACS/tempACS,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
c5fc3b056689bd92,PUBLISH,Dashboard Android App,,zara/domotics/HP/abilitata,no,,true,,emoncms mqtt,192.168.1.15,1883,False
2156d0164e4ef3d0,SUBSCRIBE,Dashboard Android App,,zara/domotics/HP/abilitata,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
9fa00d7a7ba8f2c7,SUBSCRIBE,Dashboard Android App,,zara/domotics/ACAuto,no,0,,auto,domopi mqtt,192.168.1.20,1883,False
0dd49f645bf50359,PUBLISH,Dashboard Android App,,zara/domotics/ACAuto,no,0,true,,domopi mqtt,192.168.1.20,1883,False
d85f5996e699f6c4,SUBSCRIBE,Dashboard Android App,,zara/domotics/HP/solardivertmode,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
8a433f258fd9ae4c,PUBLISH,Dashboard Android App,,zara/domotics/HP/solardivertmode,no,,true,,emoncms mqtt,192.168.1.15,1883,False
7f18e1cc67d66009,SUBSCRIBE,Dashboard Android App,,TeslaPowerwall/site_instant_power,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
c367ab1d7f57744a,SUBSCRIBE,Dashboard Android App,,zara/domotics/AC/command,no,2,,auto,domopi mqtt,192.168.1.20,1883,False
0cfe277a93d1cd75,PUBLISH,Dashboard Android App,TasmotaLampadaHifi,cmnd/tasmota_86AD14/POWER,no,,true,,emoncms mqtt,192.168.1.15,1883,False
8b5131fe86d70e81,PUBLISH,Dashboard Android App,,zara/domotics/livingThemostatMinValue,no,0,true,,emoncms mqtt,192.168.1.15,1883,False
1231be7b548cdaa8,PUBLISH,Dashboard Android App,,zara/domotics/livingThemostatMaxValue,no,0,true,,emoncms mqtt,192.168.1.15,1883,False
e1aa6d4c58cd04d2,SUBSCRIBE,Dashboard Android App,,zara/domotics/livingThemostatMinValue,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
719a9c6bd05f9d29,SUBSCRIBE,Dashboard Android App,,zara/domotics/livingThemostatMaxValue,no,2,,auto,emoncms mqtt,192.168.1.15,1883,False
6136963cd78ed054,PUBLISH,Dashboard Android App,,zara/domotics/controlloAutomaticoPotenzaCaminetto,no,0,true,,emoncms mqtt,192.168.1.15,1883,False
f564b03505444bdd,SUBSCRIBE,Dashboard Android App,,zara/domotics/controlloAutomaticoPotenzaCaminetto,no,2,,auto-detect,emoncms mqtt,192.168.1.15,1883,False
b0bc205fa5169a65,SUBSCRIBE,Dashboard Android App,,homeassistant_voice,no,2,,auto-detect,domopi mqtt,192.168.1.20,1883,False
0a00c1b4d8e1e3b1,PUBLISH,Dashboard Android App,,cmnd/SmallBathroomThermostat/THERMOSTATMODESET,no,,true,,domopi mqtt,192.168.1.20,1883,False
