category,topic,direction,flows,brokers,qos,retain,notes
Impianti termici,zara/domotics/palazzetti/oraspegnimento,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,2,true,
Altro / da classificare,zara/domotics/pompapavimento/abilitata,SUB(1) + PUB(1),Dashboard Android App,emoncms mqtt,2,true,
Sensori ambientali,zara/domotics/porch_sensor,SUB(2) + PUB(2),Android APP Bridge | Dashboard Android App,domopi mqtt,0,true,
Altro / da classificare,zara/domotics/time_range,PUB(1),Android APP Bridge,domopi mqtt,,true,
Altro / da classificare,zigbee2mqtt/+,SUB(2),Android APP Bridge,domopi mqtt,1,,
Sensori ambientali,zigbee2mqtt/IkeaMotion_cucina_outdoor,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/IkeaMotion_ingresso_principale,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/IkeaMotion_ingresso_secondario,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/IkeaMotion_lavanderia,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/IkeaMotion_pompeiana,SUB(1),ZigBee sensors,domopi mqtt,2,,
Telecamere,zigbee2mqtt/Sonoff AirGuard TH camera matrimoniale,SUB(3),Android APP Bridge | ZigBee sensors,domopi mqtt | emoncms mqtt,2,,
Sensori ambientali,zigbee2mqtt/Sonoff AirGuard TH esterno cucina,SUB(3),Android APP Bridge | ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/TU-bagnoServizio,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/TU-cameraMatrimoniale,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/TU-cameretta,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/TU-centraleTermica,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/TU-cucinaEsterno,SUB(4),AI climate | Android APP Bridge | ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/bridge/info,SUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/bridge/response/health_check,PUB(1),ZigBee sensors,domopi mqtt,2,,
Sensori ambientali,zigbee2mqtt/bridge/state,SUB(1),ZigBee sensors,domopi mqtt,2,,
