flow,node_id,node_type,node_name,topic_literal
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/android/domotica/ac_auto/set
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/android/domotica/eco_lights/set
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/android/domotica/holiday/set
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/android/domotica/pool_lights_auto/set
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/android/domotica/system/set
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/android/domotica/vmc/maxNightSpeed/set
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/domotics/ACAuto
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/domotics/luciECO
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/domotics/luciPiscinaAuto
Android APP Bridge,fd03955d71b3ad94,function,Outbound Router VMC,zara/domotics/modalitavacanza
Android APP Bridge,029b611c762d7219,function,Inbound Router Luci,/scene/set
Android APP Bridge,029b611c762d7219,function,Inbound Router Luci,shellies/shelly1-esterno/relay/0/command
Android APP Bridge,029b611c762d7219,function,Inbound Router Luci,zara/android/domotica
Android APP Bridge,029b611c762d7219,function,Inbound Router Luci,zigbee2mqtt/Luce_Cucina/set
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,${baseTopic}/light/${targetDevice}/state
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,shellies/shelly1-771284/relay/0
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,shellies/shelly1-B8C284/relay/0
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,shellies/shelly1-B92AF0/relay/0
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,shellies/shelly1-esterno
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/android/domotica
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/domotics/lights/livinglamp
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/domotics/lights/poolfloor
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/domotics/lights/poollight
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/domotics/lights/poolpump
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/domotics/lights/poolskimmer
Android APP Bridge,b5960f2b4677e29c,function,Outbound Router Luci,zara/domotics/lights/readinglight
